ID	BM_SRS013506	BM_SRS015374	BM_SRS015646	BM_SRS017687	BM_SRS019221	BM_SRS019329	BM_SRS020336	BM_SRS022145	BM_SRS022532	BM_SRS045049	TD_SRS011243	TD_SRS013234	TD_SRS014888	TD_SRS015941	TD_SRS016086	TD_SRS016342	TD_SRS017713	TD_SRS019219	TD_SRS019327	TD_SRS043663
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0.0	0.0	0.01241	0.27054	0.0	0.0	0.14068	0.00582	0.0	0.0	0.02644	0.01655	0.0	0.00921	0.0	0.0	0.03423	0.02439	0.0	0.00835
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis	0.0	0.0	0.00894	0.27054	0.0	0.0	0.14068	0.00582	0.0	0.0	0.02644	0.01655	0.0	0.00921	0.0	0.0	0.03423	0.02439	0.0	0.00398
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis	0.0	0.0	0.00346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00436
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.13383	0.03459	0.15634	2.32465	0.87562	0.18953	2.68436	0.14971	0.09986	0.30363	2.52222	2.91473	0.48359	6.8068	6.34986	12.66668	4.45205	20.0114	7.26321	18.49896
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.13383	0.03459	0.15634	2.32465	0.87562	0.18953	2.68436	0.14971	0.09986	0.30363	2.52222	2.91473	0.48359	6.8068	6.34986	12.66668	4.45205	20.0114	7.26321	18.49896
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccae	0.0	0.0	0.0	0.0037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021	0.0	0.0	0.00027
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01073	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017	9e-05	0.0	6e-05	0.0	0.00091	0.00191	0.00027
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_marshii	0.0	0.0	0.0	0.01429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	0.10455	0.03459	0.14518	1.16902	0.82002	0.18953	1.99733	0.09127	0.04852	0.28467	2.40695	1.95147	0.4616	5.24134	5.95425	11.3749	3.73523	17.2598	6.78952	18.29444
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_multiformis	0.0	0.0	0.0	0.11638	0.0	0.0	0.00457	0.00082	0.01944	0.0	0.00293	0.01022	0.0	0.0006	0.00032	0.00618	0.03676	0.00376	0.00262	0.00407
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oralis	0.0	0.0	0.0	0.00323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00086	0.0	0.0	0.00079
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris	0.00174	0.0	0.00355	0.60821	0.0	0.0	0.16737	0.00475	0.0319	0.0	0.02132	0.04888	5e-05	0.00135	0.00041	0.00906	0.04477	0.00367	0.00126	0.01002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_salivae	0.01161	0.0	0.00761	0.11706	0.05227	0.0	0.1918	0.01095	0.0	0.00619	0.03593	0.58992	0.00929	0.90412	0.3073	0.85856	0.54339	2.32043	0.11623	0.18602
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_tannerae	0.0	0.0	0.0	0.24414	0.00333	0.0	0.21461	0.02798	0.0	0.0	0.0	0.0	0.01247	0.0	0.00558	8e-05	0.02724	0.00207	0.31834	0.00214
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_veroralis	0.01594	0.0	0.0	0.04862	0.0	0.0	0.10868	0.01392	0.0	0.01277	0.05509	0.31424	0.0	0.6593	0.082	0.40712	0.06067	0.42075	0.03334	0.00094
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteria	0.00652	0.03745	0.04019	0.4688	0.00174	3.21809	0.3041	0.13628	0.1846	0.71292	0.32667	0.1277	1.62282	0.02693	0.00565	0.11675	0.10733	0.04551	0.61655	0.01934
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales	0.00652	0.03745	0.04019	0.4688	0.00174	3.21809	0.3041	0.13628	0.1846	0.71292	0.32667	0.1277	1.62282	0.02693	0.00565	0.11675	0.10733	0.04551	0.61655	0.01934
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae	0.00652	0.03745	0.04019	0.4688	0.00174	3.21809	0.3041	0.13628	0.1846	0.71292	0.32667	0.1277	1.62282	0.02693	0.00565	0.11675	0.10733	0.04551	0.61655	0.01934
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	0.00652	0.03745	0.04019	0.4688	0.00174	3.21809	0.3041	0.13628	0.1846	0.70974	0.32491	0.1277	1.62181	0.02693	0.00565	0.11675	0.10733	0.04551	0.61655	0.01934
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_gingivalis	0.0	0.00451	0.01821	0.05774	0.0	1.47302	0.22806	0.0553	0.11357	0.28541	0.22873	0.06825	0.89045	0.02034	0.00519	0.05894	0.01648	0.0355	0.44527	0.00785
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_ochracea	0.0	0.0	0.00299	0.31427	0.0	0.13172	0.02955	0.0122	0.03064	0.16905	0.01587	0.01479	0.00749	0.0	0.00046	0.03194	0.05481	0.00232	0.01912	0.0036
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena	0.00183	0.03294	0.01899	0.09679	0.0	1.61335	0.04648	0.06878	0.0404	0.25528	0.08031	0.04466	0.72388	0.00659	0.0	0.02587	0.03604	0.00768	0.15215	0.00789
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_unclassified	0.00469	0.0	0.0	0.0	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00318	0.00177	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga|s__Cellulophaga_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00318	0.00177	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00398	0.0	0.0	0.00073	0.0	0.00127	0.00265	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteria|o__Sphingobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00398	0.0	0.0	0.00073	0.0	0.00127	0.00265	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteria|o__Sphingobacteriales|f__Sphingobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00398	0.0	0.0	0.00073	0.0	0.00127	0.00265	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteria|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacteriaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00398	0.0	0.0	0.00073	0.0	0.00127	0.00265	0.0
k__Bacteria|p__Chlamydiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.00081	0.00215
